"ProjectName","StartYear","StopYear","Collaborator","Tools","Description1","Description2","GrantAffiliated","External"
"Youtube Comment Harvesting for COVID sentiments","2021 March",,"Lise Waldek, MQ; Dr Julian Droogan, MQ","bash, python, PostgreSQL","Using the Google Youtube API v3 to download 13 million comments from 21 youtube channels over 2 years",,1,
"Future of Work @ MQ","2020 November",,"Prof Lucy Taksa, MQ","LimeSurvey","In collaboration with the ethics scretariat, developed a survey instrument for polling all 8000 MQ university staff.",,,
"Ramses online: migration and sustainability","2020 March",,"Dr Camilla Di Biase-Dyson","Bash, MySQL, Virtual Machines, Java","Migration and updating old research software to run on Tenjin Cloud",,,
"Databases in MRes and PhD research","2020 January",,"History and Archaeology Students","SQL, Bash","Supporting 6+ History and Archaeology students in creating and publishing open access databases for their MRes and PhD research. Significant supervision of: Ewan Coopey, Austin Megier, Emma Kaula, Catherine Bell, and David Chapman",,,
"Mapping networks and narratives of far-right social movements in New South Wales","2019 June",,"Lise Waldek, MQ; Dr Julian Droogan, MQ","Twitter API, Batch Historical PowerTrack, Gab API, Python, Requests, NLP, spacy, SQL, ggplot, wordclouds","Wrote Python scripts to collect and deidentify hundreds of thousands of posts from Twitter and Gab.","Presented confidential summary and policy recommendations to NSW state officials through analysis scripts using Python, Spacy (Natural Language Processing), ggplot, and matplotlib.",1,1
"Implementing FAIR: Standards in Research Data Management at Macquarie University","2019 August",,"Dr Shannon Smith, MQ","Data Management Standards, Articulate 360","Collaborated on content creation and editing for the ARDC fair data online course grant.","Worked with the Research Integrity Secretariat to interpret and communicate new Data Management Standards and increasing obligations for FAIR data publication, security, and backup strategies.",1,
"Macquarie University Data Management Standards","2019 May",,"Research Integrity Secretariat MQ","NHMRC Data Management Standards, Cloudstor, NSW Privacy and Records Acts","Specified technical requirements and collaborated in designing the new Macquarie University Data Management Standards.",,,
"onwork.edu.au","2019 March",,"Prof JP Derante, MQ","Python, Git, Jekyll, HTML, JS, CSS","Deployed python and web infrastructure to scrape, convert, and present 1000+ citations by theme, keyword, and author on a static and highly-responsive website.","Featured in The Australian and DailyNous.",1,1
"Securing Life in Trust","2018 October","2020 December","Dr Chavalin Svetanant, MQ","NLTK, Jupyter, Python, Git, Open Science Framework, \LaTeX","Analysed Japanese Insurance advertisements using MeCAB and Python’s Natural Language Processing and a SQLite database.",,,
"City of Rome Blog","2018 August",,"PACE Students and Prof Laurence, MQ","Jekyll, Git, Github Pages, DNS, Cloudflare CDN","Supported Macquarie University PACE students in editing and publishing articles on a dedicated Jekyll static-site blog hosted on Github Pages.","Taught Ancient History students how to use Markdown, Pandoc, and Git Version Control to accomplish their publication objectives.",,1
"Ancient History Blog","2018 January",,"Department of Ancient History, MQ","Google AMP, Jekyll, Git, Github Pages, DNS, Cloudflare CDN, HTML, JS, CSS","Created a branding-compliant Accelerated Mobile Pages blog template to support the Department of Ancient History’s outreach efforts.","Used Cloudflare CDN, and Google Analtyics, on top of a Github Pages infrastructure to present a fast and responsive blog experiencec.",,1
"Google Arts and Culture","2016 October",,"Faculty of Arts, MQ","CSV, Google Cloud","Brought Macquarie University on as the first full university partner on Google Arts and Culture.","Created relationships between the university and Google as project lead.",1,
"Archipelagos Journal","2016 May",,"Dr Alex Gil, Columbia University","Con\TeX t, Markdown, Python, Git, Jekyll","Invited to be editor for the Archipelagos Journal.","Created Con\TeX t publication infrastructure and a markdown to pandoc production workflow to support Open Source Journal publishing.",,1
"Field Acquired Information Management Systems Project (FAIMS)","2012 July",,"A/Prof Shawn Ross, MQ","SQL, Sqlite, Spatialite, GIS, Ruby, Java, Beanshell, Python, CSV, Shapefiles, Bash","Designed all data structures for the FAIMS Project: an XML to append-only Domain Key Normal form GIS enabled SQLite database using XSLT transforms. Created custom and generalised exporters from the append-only datastore into CSV, JSON, XML, Con\TeX t, and Shapefile formats.","Managed deployment and provided on-call emergency support worldwide for all field data collection modules.",1,1
"Recent Publications Display and Video Wall","2020 May","2020 June","Arts Precinct, MQ","FFMpeg, GNU parallel, bash, Sharepoint, Jekyll, Python, RSS","Automated creation of a “Video Wall” combining RSS feeds, video, and images into a single presentation format.","Programmed NCI Tenjin cloud computers to leverage High Performance Compute to automate ffmpeg processing of video and image components.",,
"Course Health Check – Stage 1","2019 September","2019 December","PVC Sean Brawley, MQ","SQL, Oracle, Sqlite, Tableau","Seconded as a Data Architect and Senior Developer for this chancellery level initiative.","Performed extract-transform-load steps and database design getting data from multiple incompatible university data warehouses to present a unified measure of a course’s viability.",,
"Facebook Far-Right Data Analysis","2019 September","2019 October","Dr Julian Droogan, MRES Student, MQ","Python, Natural Language Processing (spacy), ggplot, Git, Jupyter Notebooks, CSV","Used Jupyter Notebooks, NLTK, and doctests to perform linguistic analysis of multiple years of Facebook posts.",,,
"Macquarie University Limesurvey Deployment","2019 September","2019 September","Office of the DVC (Research)","Limesurvey, Australian Access Federation","Managed Macquarie University’s adoption of Limesurvey, specified requirements, and ensured good conectivity with the single signon service offered by the Australian Access Federation.",,,
"trustpoliticsfear.github.io","2019 March","2019 April","Dr Randa Abdel Fattah, MQ","Jekyll, Git, Github Pages","Deployed a project website for an ARC funded project.","Taught an academic how to use markdown and Git to publish her content onto Github Pages.",,1
"Trove to Endnote Generator","2018 November","2019 January","Dr Isobelle Barrett Meyering, MQ","Python, Bash, Endnote","Extended the `Trove Harvester’ by Tim Sherratt to create endnote bibliographies with attached PDFs from queries against Trove APIs ",,,
"MQ Unit Handbook Scraper","2018 July","2018 November","Neil Durrant, PACE Students, MQ","SQL, Graphviz, Webscraping, Python, CSV, Oracle","Scraped and transformed Unit and Course data from the online Student Handbook and data warehouses to answer course load and unit dependency questions from the Faculty executive and heads of departments.",,,
"Fabricius / Hieroglyphics Initiative","2018 June","2020 July","Ubisoft, Google, Dr Alexandra Woods, MQ","Machine Learning","Advised and tested Fabricius (the Hieroglyphics Initiative Workbench), a `tool using the power of AI to help decode ancient languages.’","Produced and edited documentation, audio, and video in support of the Fabricius launch on Google Arts and Culture.",,1
"Webscraping Library Carpentry","2018 May","2018 July","Intersect Australia","Python, Webscraping, Jekyll, Scrapy, Git","Updated Library Carpentry’s webscraping lesson to better fit an international context and use more accessible technology.","Featured as part of Intersect Australia’s (a NSW training and software development provider for the university sector) training workshops.",,1
"Greek and Latin Epigraphy Scrapers","2018 March",,"Prof Ray Laurence, MQ, Dr Petra Heřmánková, Aarhus","Webscraping, Python, CSV, Jupyter Notebooks","Wrote a command line and Jupyter notebook scraper for a number of epigraphy websites to allow scholars to download well formatted CSV outputs from Greek and Latin epigraphy sites.",,,1
"Object Based Learning","2017 August","2019 April","Jane Thogersen, Eve Guerry, MQ","CSV, Python, Jekyll, Git, HTML, CSS, JS, Responsive Design","Integrated pedestal3d and Google Sheets using Python to automatically create a Jekyll website hosted on Github Pages to support high school learning activities.",,,1
"Beni Hassan Research Group","2017 February","2018 October","Dr Alexandra Woods, MRES Students, MQ","Google Sheets, Python, Con\TeX t, GraphicsMagick, Inkscape","Collaborated with faculty and students to extract photos and data from an egyptological tomb report and prepare it for online publication. This extracted data was then presented in PDF and on BeniHassan.com.",,,
"UNSW Course Student Workload Assessment Tool","2013 July","2014 January","Prof Sean Brawley, UNSW Australia","PHP, MySQL, Jquery","Built a student workload estimator, integrating academic research with university workflows to produce an estimation tool that allowed all units in the faculty to calculate and standardise their assessments to a consistent desired workload.",,,
